model,accuracy,precision,recall,f1,roc_auc,best_epoch
unimodal,0.5263157894736842,0.5166666666666666,0.5192307692307692,0.5043478260869565,0.5,6
multimodal,0.6578947368421053,0.5842911877394636,0.5705128205128205,0.5722943722943723,0.6955128205128205,1
