model,class,label,precision,recall,f1,support
unimodal,0,no pCR,0.7,0.5384615384615384,0.6086956521739131,26
unimodal,1,pCR,0.3333333333333333,0.5,0.4,12
multimodal,0,no pCR,0.7241379310344828,0.8076923076923077,0.7636363636363637,26
multimodal,1,pCR,0.4444444444444444,0.3333333333333333,0.38095238095238093,12
